,Transaction_ID,Customer_ID,Product_Id,Date,Quantity,Amount
0,t1,C74,P21,2020-01-08,1,76
1,t2,C143,P3,2023-01-31,1,30
2,t3,C89,P20,2023-06-14,2,98
3,t4,C150,P10,2022-04-03,4,240
4,t5,C73,P14,2020-02-16,1,98
5,t6,C65,P12,2020-06-17,1,36
6,t7,C187,P15,2023-06-04,1,350
7,t8,C233,P7,2021-02-01,3,36
8,t9,C81,P1,2022-02-27,1,50
9,t10,C13,P17,2021-06-01,1,488
10,t11,C82,P11,2021-04-28,4,180
11,t12,C180,P3,2023-02-23,1,30
12,t13,C2,P19,2022-06-12,2,108
13,t14,C121,P6,2023-03-01,1,18
14,t15,C159,P8,2019-08-04,1,40
15,t16,C183,P17,2020-03-02,4,1952
16,t17,C238,P20,2019-09-14,1,49
17,t18,C125,P21,2022-08-03,2,152
18,t19,C40,P20,2021-08-18,2,98
19,t20,C11,P14,2022-04-08,3,294
20,t21,C16,P15,2021-12-02,1,350
21,t22,C189,P21,2020-02-29,1,76
22,t23,C21,P18,2020-02-03,1,69
23,t24,C153,P21,2022-08-05,2,152
24,t25,C30,P6,2022-12-02,4,72
25,t26,C80,P17,2019-12-05,4,1952
26,t27,C172,P3,2020-10-29,1,30
27,t28,C183,P10,2022-01-15,4,240
28,t29,C184,P7,2021-01-27,1,12
29,t30,C64,P6,2020-05-27,2,36
30,t31,C93,P18,2020-12-06,2,138
31,t32,C247,P13,2020-08-17,3,24
32,t33,C228,P3,2022-05-17,1,30
33,t34,C213,P22,2023-01-17,1,92
34,t35,C44,P13,2023-05-14,1,8
35,t36,C155,P4,2022-12-14,1,120
36,t37,C147,P4,2021-07-05,2,240
37,t38,C146,P1,2019-11-19,2,100
38,t39,C146,P14,2021-11-02,2,196
39,t40,C150,P4,2023-02-18,2,240
40,t41,C196,P14,2020-09-03,4,392
41,t42,C182,P8,2022-01-17,1,40
42,t43,C165,P11,2022-06-05,3,135
43,t44,C212,P6,2020-02-09,2,36
44,t45,C156,P12,2020-04-25,4,144
45,t46,C103,P19,2020-10-27,4,216
46,t47,C75,P5,2021-03-08,3,75
47,t48,C160,P10,2020-09-29,1,60
48,t49,C73,P18,2020-03-03,1,69
49,t50,C96,P18,2020-08-12,1,69
50,t51,C200,P22,2020-01-01,2,184
51,t52,C98,P10,2019-08-24,1,60
52,t53,C1,P1,2021-03-25,4,200
53,t54,C57,P6,2020-08-01,4,72
54,t55,C186,P5,2020-01-18,2,50
55,t56,C48,P20,2020-10-28,1,49
56,t57,C67,P18,2023-05-19,3,207
57,t58,C167,P10,2021-03-23,1,60
58,t59,C224,P22,2022-09-21,1,92
59,t60,C94,P11,2022-07-17,1,45
60,t61,C220,P22,2023-06-06,2,184
61,t62,C164,P3,2022-06-16,1,30
62,t63,C92,P14,2020-06-16,1,98
63,t64,C49,P20,2019-09-26,2,98
64,t65,C122,P10,2020-04-10,2,120
65,t66,C97,P18,2019-09-26,1,69
66,t67,C143,P21,2021-03-17,2,152
67,t68,C45,P12,2020-02-21,3,108
68,t69,C193,P6,2021-05-05,1,18
69,t70,C207,P6,2019-12-01,2,36
70,t71,C185,P19,2019-12-19,4,216
71,t72,C59,P9,2023-06-28,1,80
72,t73,C4,P16,2022-02-22,1,520
73,t74,C215,P16,2021-05-28,1,520
74,t75,C142,P20,2021-06-02,1,49
75,t76,C42,P12,2022-06-05,2,72
76,t77,C171,P3,2021-03-25,1,30
77,t78,C90,P22,2022-08-02,2,184
78,t79,C37,P16,2020-01-22,1,520
79,t80,C213,P14,2020-08-20,3,294
80,t81,C113,P8,2021-03-20,4,160
81,t82,C140,P14,2021-02-07,2,196
82,t83,C118,P22,2023-05-04,3,276
83,t84,C9,P22,2023-02-01,2,184
84,t85,C180,P16,2021-02-28,2,1040
85,t86,C193,P22,2020-05-08,4,368
86,t87,C214,P7,2020-05-03,2,24
87,t88,C130,P13,2023-05-28,2,16
88,t89,C137,P10,2023-02-01,1,60
89,t90,C221,P19,2021-02-15,2,108
90,t91,C149,P19,2021-02-22,2,108
91,t92,C226,P10,2022-02-09,4,240
92,t93,C34,P11,2023-04-15,3,135
93,t94,C171,P18,2021-01-21,3,207
94,t95,C183,P13,2022-01-15,1,8
95,t96,C65,P21,2023-03-27,2,152
96,t97,C43,P10,2022-06-25,1,60
97,t98,C67,P18,2021-06-21,2,138
98,t99,C57,P20,2022-01-29,2,98
99,t100,C41,P19,2019-08-27,2,108
100,t101,C64,P3,2022-11-14,2,60
101,t102,C10,P18,2021-12-27,1,69
102,t103,C159,P13,2020-06-16,2,16
103,t104,C131,P8,2023-05-19,2,80
104,t105,C122,P1,2021-12-19,2,100
105,t106,C132,P8,2021-08-09,3,120
106,t107,C65,P22,2022-12-18,2,184
107,t108,C126,P14,2022-07-19,1,98
108,t109,C165,P15,2020-10-07,2,700
109,t110,C49,P14,2020-05-20,2,196
110,t111,C136,P4,2022-03-13,2,240
111,t112,C107,P3,2022-11-13,3,90
112,t113,C151,P22,2021-07-12,2,184
113,t114,C237,P19,2022-03-28,1,54
114,t115,C124,P7,2022-01-31,1,12
115,t116,C110,P8,2022-04-17,1,40
116,t117,C83,P8,2023-04-10,1,40
117,t118,C84,P2,2021-04-24,2,196
118,t119,C163,P22,2022-11-11,1,92
119,t120,C46,P4,2022-04-15,1,120
120,t121,C65,P19,2022-05-30,3,162
121,t122,C244,P5,2020-09-27,1,25
122,t123,C179,P21,2022-03-07,2,152
123,t124,C237,P16,2021-03-02,1,520
124,t125,C208,P12,2021-02-22,2,72
125,t126,C184,P21,2020-07-18,3,228
